cl.nom,cl.ave,temp,week,chl.conc,green.algae.conc,bluegreen.algae.conc,goldenbrown.algae.conc,cryptophyta.conc
0,18.26,A,0,0.925,1.03,0.01,0.62,0.01
0,20.605,W,0,0.87,0.91,0.01,0.29,0.1
10,29.21,A,0,1.026,1.05,0.01,0.59,0.01
10,27.405,W,0,0.75,0.7,0.01,0.4,0.01
20,39,A,0,0.684,0.93,0.05,0.41,0.01
20,16.91,W,0,0.478,1.14,0.02,0.13,0.06
30,51.42,A,0,0.82,1.01,0.01,0.45,0.05
30,50.335,W,0,0.635,0.78,0.01,0.26,0.06
40,61.07,A,0,0.642,0.85,0.01,0.41,0.01
40,60.135,W,0,0.576,0.93,0.01,0.21,0.02
50,72.17,A,0,0.7,0.94,0.01,0.35,0.01
50,71.87,W,0,0.641,0.98,0.01,0.33,0.01
60,83.7,A,0,0.64,0.74,0.01,0.35,0.06
60,80.305,W,0,0.57,0.97,0.01,0.13,0.09
80,103.375,A,0,0.645,1.01,0.01,0.38,0.01
80,100.62,W,0,0.703,1.02,0.01,0.39,0.01
100,122.78,A,0,0.754,0.94,0.01,0.52,0.01
100,122.275,W,0,0.671,0.91,0.01,0.28,0.05
120,144.675,A,0,0.144,1.1,0.01,0.49,0.01
120,142.03,W,0,0.591,0.94,0.16,0.31,0.01
140,160.265,A,0,0.616,0.955,0.01,0.39,0.015
140,165.475,W,0,0.627,1.05,0.16,0.16,0.12
160,188.105,A,0,0.596,0.78,0.01,0.4,0.06
160,185.87,W,0,0.587,0.78,0.01,0.21,0.01
180,206.015,A,0,0.624,1.14,0.01,0.19,0.15
180,201.195,W,0,0.587,0.92,0.01,0.33,0.04
200,227.66,A,0,0.631,1.02,0.01,0.15,0.21
200,225,W,0,0.525,0.93,0.01,0.28,0.06
225,246.245,A,0,0.573,1.15,0.01,0.21,0.01
225,254.25,W,0,0.507,0.88,0.01,0.24,0.04
250,280.92,A,0,0.627,0.77,0.01,0.53,0.01
250,277.55,W,0,0.627,1.09,0.01,0.29,0.03
300,326.845,A,0,0.596,0.91,0.01,0.45,0.01
300,336.34,W,0,0.485,0.95,0.05,0.1,0.01
350,354.505,A,0,0.502,0.72,0.01,0.29,0.01
350,394.52,W,0,0.57,1.08,0.01,0.31,0.01
400,453.215,A,0,0.505,0.95,0.07,0.01,0.18
400,433.66,W,0,0.488,1.14,0.01,0.2,0.01
450,486.8,A,0,0.509,1.16,0.11,0.04,0.01
450,557.875,W,0,0.591,1.19,0.01,0.08,0.06
